variant,dist,tp,sl,atr_mult,time_stop,ma,breakeven,trades,win_rate,profit_factor,expectancy_per_trade,avg_win,avg_loss,max_drawdown,sharpe_like,sortino_like,time_in_market,trades_per_year,total_pnl
base,0.1,0.1,0.1,1.5,20,220,False,18,0.7222222222222222,2.7822669531425346,45.50157684668052,98.35164835164866,91.9086090662366,-104.3456543456536,0.4736060232728361,0.9750152214981952,0.0582386363636363,3.114400757934628,819.0283832402494
base,0.1,0.1,0.1,1.5,45,220,False,18,0.7222222222222222,2.7822669531425346,45.50157684668052,98.35164835164866,91.9086090662366,-104.3456543456536,0.4736060232728361,0.9750152214981952,0.0582386363636363,3.114400757934628,819.0283832402494
base,0.1,0.1,0.1,1.5,30,220,False,18,0.7222222222222222,2.7822669531425346,45.50157684668052,98.35164835164866,91.9086090662366,-104.3456543456536,0.4736060232728361,0.9750152214981952,0.0582386363636363,3.114400757934628,819.0283832402494
base,0.1,0.12,0.08,1.5,20,220,False,17,0.6470588235294118,2.683558935323801,48.03140288481656,118.32167832167865,80.83410208276395,-162.7572427572424,0.4382193252662418,1.07950335267803,0.0606060606060606,2.941378493604927,816.5338490418812
base,0.1,0.12,0.08,1.5,30,220,False,17,0.6470588235294118,2.683558935323801,48.03140288481656,118.32167832167865,80.83410208276395,-162.7572427572424,0.4382193252662418,1.07950335267803,0.0606060606060606,2.941378493604927,816.5338490418812
base,0.1,0.12,0.08,1.5,45,220,False,17,0.6470588235294118,2.683558935323801,48.03140288481656,118.32167832167865,80.83410208276395,-162.7572427572424,0.4382193252662418,1.07950335267803,0.0606060606060606,2.941378493604927,816.5338490418812
base,0.1,0.12,0.08,2.0,20,220,False,17,0.6470588235294118,2.6656027498158736,47.83921960392577,118.32167832167865,81.37862137862119,-162.7572427572424,0.4349924962481263,1.0674564203290042,0.0606060606060606,2.941378493604927,813.2667332667378
base,0.1,0.12,0.08,2.0,30,220,False,17,0.6470588235294118,2.6656027498158736,47.83921960392577,118.32167832167865,81.37862137862119,-162.7572427572424,0.4349924962481263,1.0674564203290042,0.0606060606060606,2.941378493604927,813.2667332667378
base,0.1,0.12,0.08,2.0,45,220,False,17,0.6470588235294118,2.6656027498158736,47.83921960392577,118.32167832167865,81.37862137862119,-162.7572427572424,0.4349924962481263,1.0674564203290042,0.0606060606060606,2.941378493604927,813.2667332667378
base,0.1,0.1,0.08,1.5,20,220,False,19,0.6842105263157895,2.64216094697744,41.82421948620802,98.35164835164866,80.65187638891337,-162.7572427572424,0.4454872149135119,0.988500739223235,0.0577651515151515,3.28742302226433,794.6601702379522
base,0.1,0.1,0.08,1.5,30,220,False,19,0.6842105263157895,2.64216094697744,41.82421948620802,98.35164835164866,80.65187638891337,-162.7572427572424,0.4454872149135119,0.988500739223235,0.0577651515151515,3.28742302226433,794.6601702379522
base,0.1,0.1,0.08,1.5,45,220,False,19,0.6842105263157895,2.64216094697744,41.82421948620802,98.35164835164866,80.65187638891337,-162.7572427572424,0.4454872149135119,0.988500739223235,0.0577651515151515,3.28742302226433,794.6601702379522
base,0.05,0.1,0.1,2.0,30,220,False,26,0.7307692307692307,2.634020981482795,44.58618304772175,98.35164835164863,101.34865134865127,-208.69130869130797,0.4637048294869696,0.9136973426756568,0.1046401515151515,4.498578872572241,1159.240759240765
base,0.05,0.1,0.1,2.0,45,220,False,26,0.7307692307692307,2.634020981482795,44.58618304772175,98.35164835164863,101.34865134865127,-208.69130869130797,0.4637048294869696,0.9136973426756568,0.1046401515151515,4.498578872572241,1159.240759240765
base,0.1,0.1,0.08,2.0,45,220,False,19,0.6842105263157895,2.6185653490465803,41.59472106840554,98.35164835164866,81.37862137862122,-162.7572427572424,0.4409346464170098,0.9738344247100964,0.0577651515151515,3.28742302226433,790.2997002997051
base,0.1,0.1,0.08,2.0,20,220,False,19,0.6842105263157895,2.6185653490465803,41.59472106840554,98.35164835164866,81.37862137862122,-162.7572427572424,0.4409346464170098,0.9738344247100964,0.0577651515151515,3.28742302226433,790.2997002997051
base,0.1,0.1,0.08,2.0,30,220,False,19,0.6842105263157895,2.6185653490465803,41.59472106840554,98.35164835164866,81.37862137862122,-162.7572427572424,0.4409346464170098,0.9738344247100964,0.0577651515151515,3.28742302226433,790.2997002997051
base,0.07,0.1,0.1,2.0,20,220,False,22,0.7272727272727273,2.6055499337812464,44.378269216812434,99.0258644288613,101.34865134865122,-107.34265734265618,0.4504919699454746,0.8911399918802644,0.0819128787878787,3.8064898152534345,976.3219227698736
base,0.07,0.1,0.1,2.0,30,220,False,22,0.7272727272727273,2.5878100870708183,43.88793025156688,98.35164835164866,101.34865134865122,-107.34265734265618,0.4467000931618963,0.8801907207793321,0.0819128787878787,3.8064898152534345,965.5344655344712
base,0.07,0.1,0.1,2.0,45,220,False,22,0.7272727272727273,2.5878100870708183,43.88793025156688,98.35164835164866,101.34865134865122,-107.34265734265618,0.4467000931618963,0.8801907207793321,0.0819128787878787,3.8064898152534345,965.5344655344712
base,0.1,0.12,0.1,1.5,20,220,False,15,0.6666666666666666,2.5686567203889887,48.172025581499966,118.32167832167865,92.12727989885732,-101.34865134865125,0.4118753019250565,0.9353248494329856,0.0596590909090909,2.595333964945524,722.5803837224996
base,0.1,0.12,0.1,1.5,30,220,False,15,0.6666666666666666,2.5686567203889887,48.172025581499966,118.32167832167865,92.12727989885732,-101.34865134865125,0.4118753019250565,0.9353248494329856,0.0596590909090909,2.595333964945524,722.5803837224996
