generation,best_fitness,avg_fitness,worst_fitness,std_fitness,mutation_rate
0,29.465522154103766,18.949433042099823,8.7919586353394,6.70136305532533,0.25
1,28.264599845986094,19.63317288657183,9.530176547023153,6.769316367753972,0.24375
2,30.19756215804404,23.44165478671464,9.528683485035097,6.524438916868227,0.2375
3,30.19756215804404,24.439083776276608,11.538753952014103,5.479784557112462,0.23125
4,30.086245689793778,26.730291329940354,14.076023221605196,3.2263612473578815,0.225
5,30.19756215804404,25.746194566723382,9.997504918874931,5.244659382152379,0.21875
6,31.175532724053205,27.10207383575435,11.489738873391959,3.6582680830866554,0.2125
7,31.175532724053205,28.343712401196772,22.818880120134036,1.8561921702452102,0.20625
8,31.175532724053205,27.425349712552894,9.997504918874931,3.7359216991352597,0.2
9,31.175532724053205,27.132295738730985,8.729644098270988,4.607395849729127,0.19375
10,31.175532724053205,27.37184335760934,8.729644098270988,4.069207876390452,0.1875
11,31.175532724053205,27.420246385915906,8.705879350176685,3.955659753706073,0.18125
12,31.175532724053205,27.930052289799384,12.071331895067114,3.5110593004318744,0.175
13,31.22381614619665,28.066392967501738,22.961785628281696,2.4672926409578566,0.16875
14,31.175532724053205,26.965466231281678,11.212851428932963,4.67755708814942,0.1625
15,31.22381614619665,26.95391145563989,8.701549488095024,5.733917891535792,0.15625
16,31.22381614619665,27.494198574537698,11.504184461502238,4.788911865460588,0.15
17,31.22381614619665,28.82136155779655,13.798119481569186,3.1203282702814836,0.14375
18,31.22381614619665,28.796430455116063,13.804478843828393,3.385743745341158,0.1375
19,31.22381614619665,29.615016139935552,25.767819439666436,1.9215642698119426,0.13125
20,31.22381614619665,29.29312047200167,22.082659231103044,2.613796232191977,0.125
21,31.22381614619665,29.44678114685963,22.977885434212265,2.238932975961433,0.11875
22,31.22381614619665,29.034688326395347,13.792358178063667,3.814522548983115,0.11249999999999999
23,31.22381614619665,29.89950482889701,18.302876373721187,2.1924360604279025,0.10625000000000001
24,31.22381614619665,29.02926965913753,22.977885434212265,2.5054174097152333,0.1
25,31.22381614619665,29.229533662078705,23.039073079467766,2.1954650980534973,0.09375
26,31.22381614619665,30.141456938028842,24.26623435210358,1.740615259745588,0.0875
27,31.22381614619665,29.22653652404998,8.729252317571135,4.431887880269603,0.08124999999999999
28,31.22381614619665,30.27723343959686,22.982405451826036,1.778115958160856,0.07500000000000001
29,31.22381614619665,30.297169740535946,25.43096657320111,1.725504545921717,0.06875
30,31.22381614619665,30.48237732447117,23.074827441820453,1.721100860266764,0.0625
31,31.22381614619665,29.89137093095976,13.804478843828393,4.242803180547925,0.056249999999999994
32,31.22381614619665,30.688978566215848,26.241409884811862,1.2958406626428107,0.04999999999999999
33,31.22381614619665,30.57978798583002,22.982405451826036,1.5725425700374933,0.04375000000000001
34,31.22381614619665,30.622573246568603,13.804478843828393,2.2289239753750074,0.037500000000000006
35,31.22381614619665,30.410835249267627,11.7518385755321,2.5523734935646822,0.03125
36,31.22381614619665,30.81543158920334,22.982405451826036,1.3110252063140337,0.024999999999999994
37,31.22381614619665,31.063630610420276,26.936846841972816,0.7068625446525234,0.01874999999999999
38,31.22381614619665,31.134638579940066,24.357143544441062,0.7774319986865487,0.012500000000000011
39,31.22381614619665,30.74947376624381,13.804478843828393,2.1376080240642854,0.0062500000000000056
40,31.22381614619665,31.22381614619663,31.22381614619665,2.1316282072803006e-14,0.0
