generation,best_fitness,avg_fitness,worst_fitness,std_fitness,mutation_rate
0,43.872612037153175,28.84976222743993,18.914266636630156,8.700381897548665,0.25
1,44.7771698830963,35.11112441812176,20.66086828944809,9.416560480624653,0.225
2,45.49084545112542,37.7872151406528,22.609075411232222,7.99114637194908,0.2
3,45.97568616572106,35.83380664048747,24.669273484368276,6.2783385747628255,0.175
4,46.28281724729102,42.53848376360086,32.65122985531483,4.375047066227769,0.15
5,46.28281724729102,43.07417678594129,24.982505916210744,6.239029789900451,0.125
6,46.28281724729102,44.41170863288533,29.786365485980152,4.640494446526897,0.1
7,46.28281724729102,44.14672342649598,33.17982686144835,3.1197315500145804,0.07500000000000001
8,46.28281724729102,44.86096466421291,27.730267152223114,4.630148255945277,0.04999999999999999
9,46.28281724729102,45.536606817364124,40.132029616084495,1.5155661852435263,0.024999999999999994
10,46.28281724729102,46.03257581380039,43.471343819311215,0.7570592629511674,0.0
