generation,best_fitness,avg_fitness,worst_fitness,std_fitness,mutation_rate
0,36.04711983491278,25.264666284181168,8.510838793344856,9.995140336684189,0.2
1,36.04711983491278,25.406439995493287,4.163439783670034,9.550440219631428,0.18000000000000002
2,42.21174387256896,30.330637716214447,13.706660025709285,7.860079393746328,0.16000000000000003
3,40.970583213102806,31.833564177983007,8.480342751935305,9.323157606651856,0.13999999999999999
4,42.002673370248964,31.735725397861213,4.163439783670034,10.486778651083913,0.12
5,42.25975183168941,37.110753433234656,28.73014565787098,3.9512450900256115,0.1
6,42.25975183168941,37.845132613017164,23.28908725633689,5.03519358439508,0.08000000000000002
7,42.25975183168941,35.25700986294987,28.518596642296895,6.3774106538695285,0.06000000000000001
8,42.8890487122348,40.25593227090477,28.518596642296895,3.9709367709493866,0.039999999999999994
9,42.8890487122348,41.97659603927109,38.94173269666302,0.9277570400571278,0.019999999999999997
10,45.13001488786653,42.70036780346747,41.61027831728105,0.6506488509203314,0.0
