variant,dist,tp,sl,atr_mult,time_stop,ma,breakeven,trades,win_rate,profit_factor,expectancy_per_trade,avg_win,avg_loss,max_drawdown,sharpe_like,sortino_like,time_in_market,trades_per_year,total_pnl
reclaim,0.03,0.12,0.06,1.5,30,180,False,2,1.0,inf,118.32167832167866,118.32167832167866,0.0,0.0,,,0.02130681818181818,0.34604452865940316,236.64335664335732
reclaim,0.03,0.12,0.06,1.5,45,180,False,2,1.0,inf,118.32167832167866,118.32167832167866,0.0,0.0,,,0.02130681818181818,0.34604452865940316,236.64335664335732
reclaim,0.03,0.12,0.06,2.0,30,180,False,2,1.0,inf,118.32167832167866,118.32167832167866,0.0,0.0,,,0.02130681818181818,0.34604452865940316,236.64335664335732
reclaim,0.03,0.12,0.06,2.0,45,180,False,2,1.0,inf,118.32167832167866,118.32167832167866,0.0,0.0,,,0.02130681818181818,0.34604452865940316,236.64335664335732
reclaim,0.03,0.12,0.08,1.5,30,180,False,2,1.0,inf,118.32167832167866,118.32167832167866,0.0,0.0,,,0.02130681818181818,0.34604452865940316,236.64335664335732
reclaim,0.03,0.12,0.08,1.5,45,180,False,2,1.0,inf,118.32167832167866,118.32167832167866,0.0,0.0,,,0.02130681818181818,0.34604452865940316,236.64335664335732
reclaim,0.03,0.12,0.08,2.0,30,180,False,2,1.0,inf,118.32167832167866,118.32167832167866,0.0,0.0,,,0.02130681818181818,0.34604452865940316,236.64335664335732
reclaim,0.03,0.12,0.08,2.0,45,180,False,2,1.0,inf,118.32167832167866,118.32167832167866,0.0,0.0,,,0.02130681818181818,0.34604452865940316,236.64335664335732
reclaim,0.03,0.12,0.1,1.5,30,180,False,2,1.0,inf,118.32167832167866,118.32167832167866,0.0,0.0,,,0.02130681818181818,0.34604452865940316,236.64335664335732
reclaim,0.03,0.12,0.1,1.5,45,180,False,2,1.0,inf,118.32167832167866,118.32167832167866,0.0,0.0,,,0.02130681818181818,0.34604452865940316,236.64335664335732
reclaim,0.03,0.12,0.1,2.0,30,180,False,2,1.0,inf,118.32167832167866,118.32167832167866,0.0,0.0,,,0.02130681818181818,0.34604452865940316,236.64335664335732
reclaim,0.03,0.12,0.1,2.0,45,180,False,2,1.0,inf,118.32167832167866,118.32167832167866,0.0,0.0,,,0.02130681818181818,0.34604452865940316,236.64335664335732
reclaim,0.03,0.1,0.06,1.5,30,180,False,2,1.0,inf,98.35164835164866,98.35164835164866,0.0,0.0,,,0.019412878787878788,0.34604452865940316,196.70329670329733
reclaim,0.03,0.1,0.06,1.5,45,180,False,2,1.0,inf,98.35164835164866,98.35164835164866,0.0,0.0,,,0.019412878787878788,0.34604452865940316,196.70329670329733
reclaim,0.03,0.1,0.06,2.0,30,180,False,2,1.0,inf,98.35164835164866,98.35164835164866,0.0,0.0,,,0.019412878787878788,0.34604452865940316,196.70329670329733
reclaim,0.03,0.1,0.06,2.0,45,180,False,2,1.0,inf,98.35164835164866,98.35164835164866,0.0,0.0,,,0.019412878787878788,0.34604452865940316,196.70329670329733
reclaim,0.03,0.1,0.08,1.5,30,180,False,2,1.0,inf,98.35164835164866,98.35164835164866,0.0,0.0,,,0.019412878787878788,0.34604452865940316,196.70329670329733
reclaim,0.03,0.1,0.08,1.5,45,180,False,2,1.0,inf,98.35164835164866,98.35164835164866,0.0,0.0,,,0.019412878787878788,0.34604452865940316,196.70329670329733
reclaim,0.03,0.1,0.08,2.0,30,180,False,2,1.0,inf,98.35164835164866,98.35164835164866,0.0,0.0,,,0.019412878787878788,0.34604452865940316,196.70329670329733
reclaim,0.03,0.1,0.08,2.0,45,180,False,2,1.0,inf,98.35164835164866,98.35164835164866,0.0,0.0,,,0.019412878787878788,0.34604452865940316,196.70329670329733
reclaim,0.03,0.1,0.1,1.5,30,180,False,2,1.0,inf,98.35164835164866,98.35164835164866,0.0,0.0,,,0.019412878787878788,0.34604452865940316,196.70329670329733
reclaim,0.03,0.1,0.1,1.5,45,180,False,2,1.0,inf,98.35164835164866,98.35164835164866,0.0,0.0,,,0.019412878787878788,0.34604452865940316,196.70329670329733
reclaim,0.03,0.1,0.1,2.0,30,180,False,2,1.0,inf,98.35164835164866,98.35164835164866,0.0,0.0,,,0.019412878787878788,0.34604452865940316,196.70329670329733
reclaim,0.03,0.1,0.1,2.0,45,180,False,2,1.0,inf,98.35164835164866,98.35164835164866,0.0,0.0,,,0.019412878787878788,0.34604452865940316,196.70329670329733
reclaim,0.03,0.12,0.06,1.5,20,180,False,2,1.0,inf,84.81470196086306,84.81470196086306,0.0,0.0,,,0.017992424242424244,0.34604452865940316,169.62940392172612
reclaim,0.03,0.12,0.06,2.0,20,180,False,2,1.0,inf,84.81470196086306,84.81470196086306,0.0,0.0,,,0.017992424242424244,0.34604452865940316,169.62940392172612
reclaim,0.03,0.12,0.08,1.5,20,180,False,2,1.0,inf,84.81470196086306,84.81470196086306,0.0,0.0,,,0.017992424242424244,0.34604452865940316,169.62940392172612
reclaim,0.03,0.12,0.08,2.0,20,180,False,2,1.0,inf,84.81470196086306,84.81470196086306,0.0,0.0,,,0.017992424242424244,0.34604452865940316,169.62940392172612
reclaim,0.03,0.12,0.1,1.5,20,180,False,2,1.0,inf,84.81470196086306,84.81470196086306,0.0,0.0,,,0.017992424242424244,0.34604452865940316,169.62940392172612
reclaim,0.03,0.12,0.1,2.0,20,180,False,2,1.0,inf,84.81470196086306,84.81470196086306,0.0,0.0,,,0.017992424242424244,0.34604452865940316,169.62940392172612
reclaim,0.03,0.08,0.06,1.5,20,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.06,1.5,20,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.06,1.5,30,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.06,1.5,30,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.06,1.5,45,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.06,1.5,45,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.06,2.0,20,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.06,2.0,20,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.06,2.0,30,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.06,2.0,30,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.06,2.0,45,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.06,2.0,45,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.08,1.5,20,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.08,1.5,20,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.08,1.5,30,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.08,1.5,30,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.08,1.5,45,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.08,1.5,45,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.08,2.0,20,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.08,2.0,20,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.08,2.0,30,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.08,2.0,30,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.08,2.0,45,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.08,2.0,45,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.1,1.5,20,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.1,1.5,20,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.1,1.5,30,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.1,1.5,30,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.1,1.5,45,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.1,1.5,45,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.1,2.0,20,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.1,2.0,20,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.1,2.0,30,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.1,2.0,30,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.1,2.0,45,180,True,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.08,0.1,2.0,45,180,False,2,1.0,inf,78.38161838161868,78.38161838161868,0.0,0.0,,,0.014204545454545454,0.34604452865940316,156.76323676323736
reclaim,0.03,0.1,0.06,1.5,20,180,False,2,1.0,inf,74.82968697584812,74.82968697584812,0.0,0.0,,,0.017045454545454544,0.34604452865940316,149.65937395169624
reclaim,0.03,0.1,0.06,2.0,20,180,False,2,1.0,inf,74.82968697584812,74.82968697584812,0.0,0.0,,,0.017045454545454544,0.34604452865940316,149.65937395169624
reclaim,0.03,0.1,0.08,1.5,20,180,False,2,1.0,inf,74.82968697584812,74.82968697584812,0.0,0.0,,,0.017045454545454544,0.34604452865940316,149.65937395169624
reclaim,0.03,0.1,0.08,2.0,20,180,False,2,1.0,inf,74.82968697584812,74.82968697584812,0.0,0.0,,,0.017045454545454544,0.34604452865940316,149.65937395169624
reclaim,0.03,0.1,0.1,1.5,20,180,False,2,1.0,inf,74.82968697584812,74.82968697584812,0.0,0.0,,,0.017045454545454544,0.34604452865940316,149.65937395169624
reclaim,0.03,0.1,0.1,2.0,20,180,False,2,1.0,inf,74.82968697584812,74.82968697584812,0.0,0.0,,,0.017045454545454544,0.34604452865940316,149.65937395169624
reclaim,0.03,0.12,0.06,1.5,20,180,True,2,0.5,78.96000000000772,58.41158841158862,118.32167832167859,1.4985014985013554,0.0,,,0.016571969696969696,0.34604452865940316,116.82317682317723
reclaim,0.03,0.12,0.06,1.5,30,180,True,2,0.5,78.96000000000772,58.41158841158862,118.32167832167859,1.4985014985013554,0.0,,,0.016571969696969696,0.34604452865940316,116.82317682317723
reclaim,0.03,0.12,0.06,1.5,45,180,True,2,0.5,78.96000000000772,58.41158841158862,118.32167832167859,1.4985014985013554,0.0,,,0.016571969696969696,0.34604452865940316,116.82317682317723
reclaim,0.03,0.12,0.06,2.0,20,180,True,2,0.5,78.96000000000772,58.41158841158862,118.32167832167859,1.4985014985013554,0.0,,,0.016571969696969696,0.34604452865940316,116.82317682317723
reclaim,0.03,0.12,0.06,2.0,30,180,True,2,0.5,78.96000000000772,58.41158841158862,118.32167832167859,1.4985014985013554,0.0,,,0.016571969696969696,0.34604452865940316,116.82317682317723
reclaim,0.03,0.12,0.06,2.0,45,180,True,2,0.5,78.96000000000772,58.41158841158862,118.32167832167859,1.4985014985013554,0.0,,,0.016571969696969696,0.34604452865940316,116.82317682317723
reclaim,0.03,0.12,0.08,1.5,20,180,True,2,0.5,78.96000000000772,58.41158841158862,118.32167832167859,1.4985014985013554,0.0,,,0.016571969696969696,0.34604452865940316,116.82317682317723
reclaim,0.03,0.12,0.08,1.5,30,180,True,2,0.5,78.96000000000772,58.41158841158862,118.32167832167859,1.4985014985013554,0.0,,,0.016571969696969696,0.34604452865940316,116.82317682317723
reclaim,0.03,0.12,0.08,1.5,45,180,True,2,0.5,78.96000000000772,58.41158841158862,118.32167832167859,1.4985014985013554,0.0,,,0.016571969696969696,0.34604452865940316,116.82317682317723
