Date,Open,High,Low,Close
2020-01-01,7195.24000000,7196.25000000,7175.46000000,7177.02000000
2020-01-01,7176.47000000,7230.00000000,7175.71000000,7216.27000000
2020-01-01,7215.52000000,7244.87000000,7211.41000000,7242.85000000
2020-01-01,7242.66000000,7245.00000000,7220.00000000,7225.01000000
2020-01-01,7225.00000000,7230.00000000,7215.03000000,7217.27000000
2020-01-01,7217.26000000,7229.76000000,7216.65000000,7224.21000000
2020-01-01,7224.24000000,7236.27000000,7221.51000000,7225.62000000
2020-01-01,7225.88000000,7232.94000000,7199.11000000,7209.83000000
2020-01-01,7209.83000000,7210.00000000,7180.00000000,7200.64000000
2020-01-01,7200.29000000,7210.51000000,7188.00000000,7188.77000000
2020-01-01,7189.07000000,7210.00000000,7185.20000000,7202.00000000
2020-01-01,7202.01000000,7237.73000000,7188.61000000,7197.20000000
2020-01-01,7197.20000000,7233.33000000,7196.15000000,7225.59000000
2020-01-01,7225.84000000,7231.89000000,7212.88000000,7221.20000000
2020-01-01,7221.17000000,7234.97000000,7208.17000000,7221.43000000
2020-01-01,7221.60000000,7255.00000000,7218.29000000,7234.19000000
2020-01-01,7234.20000000,7246.42000000,7214.00000000,7245.37000000
2020-01-01,7244.34000000,7249.99000000,7224.92000000,7236.83000000
2020-01-01,7237.02000000,7246.72000000,7225.17000000,7240.67000000
2020-01-01,7240.80000000,7241.00000000,7225.49000000,7229.48000000
2020-01-01,7229.48000000,7242.98000000,7224.68000000,7236.73000000
2020-01-01,7237.26000000,7242.75000000,7227.00000000,7233.17000000
2020-01-01,7233.32000000,7234.49000000,7186.00000000,7197.99000000
2020-01-01,7197.62000000,7204.17000000,7175.15000000,7200.85000000
2020-01-02,7200.77000000,7212.50000000,7185.46000000,7211.02000000
2020-01-02,7211.04000000,7211.16000000,7185.11000000,7190.99000000
2020-01-02,7190.99000000,7191.00000000,7155.35000000,7169.02000000
2020-01-02,7169.04000000,7169.06000000,7120.37000000,7129.61000000
2020-01-02,7129.25000000,7161.00000000,7116.70000000,7142.21000000
2020-01-02,7142.61000000,7152.05000000,7126.93000000,7138.93000000
2020-01-02,7138.93000000,7149.02000000,7121.43000000,7135.97000000
2020-01-02,7136.04000000,7140.63000000,7105.00000000,7110.57000000
2020-01-02,7110.98000000,7157.48000000,7109.11000000,7154.36000000
2020-01-02,7153.57000000,7165.00000000,7135.36000000,7162.01000000
2020-01-02,7162.18000000,7180.00000000,7153.33000000,7161.83000000
2020-01-02,7161.89000000,7168.67000000,7139.03000000,7139.79000000
2020-01-02,7139.73000000,7163.40000000,7139.03000000,7158.29000000
2020-01-02,7158.86000000,7163.35000000,7107.43000000,7131.15000000
2020-01-02,7131.18000000,7157.10000000,7122.34000000,7135.59000000
2020-01-02,7135.59000000,7152.00000000,7120.00000000,7130.98000000
2020-01-02,7130.37000000,7146.85000000,7020.00000000,7052.32000000
2020-01-02,7052.32000000,7053.09000000,6924.74000000,6970.04000000
2020-01-02,6970.04000000,6989.68000000,6949.96000000,6974.02000000
2020-01-02,6974.02000000,6995.00000000,6960.00000000,6983.27000000
2020-01-02,6982.63000000,6983.22000000,6941.27000000,6948.49000000
2020-01-02,6948.16000000,6985.00000000,6946.20000000,6977.73000000
2020-01-02,6977.55000000,6978.24000000,6963.02000000,6974.80000000
2020-01-02,6974.80000000,6974.80000000,6950.00000000,6965.71000000
2020-01-03,6965.49000000,6966.47000000,6912.88000000,6937.00000000
2020-01-03,6937.00000000,6946.07000000,6878.19000000,6888.85000000
2020-01-03,6888.26000000,6966.80000000,6871.04000000,6956.88000000
2020-01-03,6957.66000000,6966.36000000,6940.00000000,6952.04000000
2020-01-03,6952.04000000,7264.71000000,6948.64000000,7210.19000000
2020-01-03,7210.20000000,7249.00000000,7168.48000000,7220.47000000
2020-01-03,7220.49000000,7225.00000000,7190.14000000,7202.22000000
2020-01-03,7202.06000000,7232.00000000,7185.04000000,7203.21000000
2020-01-03,7202.28000000,7297.29000000,7202.28000000,7260.60000000
2020-01-03,7260.64000000,7358.88000000,7256.56000000,7348.42000000
2020-01-03,7349.30000000,7371.92000000,7281.30000000,7312.25000000
2020-01-03,7312.26000000,7346.00000000,7306.61000000,7340.46000000
2020-01-03,7340.46000000,7350.19000000,7303.14000000,7322.78000000
2020-01-03,7324.10000000,7380.00000000,7311.59000000,7348.87000000
2020-01-03,7348.36000000,7362.31000000,7229.30000000,7254.73000000
2020-01-03,7255.49000000,7322.44000000,7252.48000000,7320.18000000
2020-01-03,7320.17000000,7405.00000000,7293.10000000,7386.03000000
